Name	Description	Size (#Pairs)	Performance	Download link	Source
gooaq_pairs	(Question, Answer)-Pairs from Google auto suggest	3,012,496	59.06	https://public.ukp.informatik.tu-darmstadt.de/reimers/sentence-transformers/datasets/paraphrases/gooaq_pairs.jsonl.gz	https://github.com/allenai/gooaq
msmarco-query_passage_negative	(Query, Answer_Passage, hard_negative) from MS MARCO dataset	9,144,553	58.76	https://public.ukp.informatik.tu-darmstadt.de/reimers/sentence-transformers/datasets/paraphrases/msmarco-query_passage_negative.jsonl.gz	https://microsoft.github.io/msmarco/
yahoo_answers_title_answer	(Title, Answer) pairs from Yahoo Answers	1,198,260	58.65	https://public.ukp.informatik.tu-darmstadt.de/reimers/sentence-transformers/datasets/paraphrases/yahoo_answers_title_answer.jsonl.gz	https://www.kaggle.com/soumikrakshit/yahoo-answers-dataset
NQ-train_pairs	Training pairs (query, answer_passage) from the NQ dataset	100,231	57.48	https://public.ukp.informatik.tu-darmstadt.de/reimers/sentence-transformers/datasets/paraphrases/NQ-train_pairs.jsonl.gz	https://ai.google.com/research/NaturalQuestions/
searchQA_question_top5_snippets_merged	Training pairs (Question, Answer) augmented with Context	582,261	67.3	https://public.ukp.informatik.tu-darmstadt.de/reimers/sentence-transformers/datasets/paraphrases/searchQA_question_top5_snippets_merged.jsonl.gz	https://github.com/nyu-dl/dl4ir-searchQA
